                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1685,                 1.4002,                 1.2024,                0.65373,                0.56513,                0.62126,                0.46068,                 1.0804,                 1.0899,                 1.1245,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1895,                 1.4062,                 1.2448,                0.65931,                0.57519,                0.64663,                0.47752,                   1.06,                  1.056,                 1.1159,               0.086005,               0.001005,               0.001005
                      2,                 1.1485,                 1.3143,                 1.2418,                0.68728,                0.58563,                0.66383,                0.49193,                 1.0605,                 1.0273,                 1.1115,               0.077782,               0.000782,               0.000782
